Namespace(cfg_file='config/extractor/train_extractor_pointnet2.yml', use_sgd=True, no_cuda=False, eval=False, model_path=None)
Using GPU : 0 from 1 devices
PointNet2(
  (sa1): PointNetSetAbstraction(
    (mlp_convs): ModuleList(
      (0): Conv2d(3, 64, kernel_size=(1, 1), stride=(1, 1))
      (1): Conv2d(64, 64, kernel_size=(1, 1), stride=(1, 1))
      (2): Conv2d(64, 128, kernel_size=(1, 1), stride=(1, 1))
    )
    (mlp_bns): ModuleList(
      (0-1): 2 x BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (2): BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    )
  )
  (sa2): PointNetSetAbstraction(
    (mlp_convs): ModuleList(
      (0): Conv2d(131, 128, kernel_size=(1, 1), stride=(1, 1))
      (1): Conv2d(128, 128, kernel_size=(1, 1), stride=(1, 1))
      (2): Conv2d(128, 256, kernel_size=(1, 1), stride=(1, 1))
    )
    (mlp_bns): ModuleList(
      (0-1): 2 x BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (2): BatchNorm2d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    )
  )
  (sa3): PointNetSetAbstraction(
    (mlp_convs): ModuleList(
      (0): Conv2d(259, 256, kernel_size=(1, 1), stride=(1, 1))
      (1): Conv2d(256, 512, kernel_size=(1, 1), stride=(1, 1))
      (2): Conv2d(512, 1024, kernel_size=(1, 1), stride=(1, 1))
    )
    (mlp_bns): ModuleList(
      (0): BatchNorm2d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (1): BatchNorm2d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (2): BatchNorm2d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    )
  )
  (fc1): Linear(in_features=1024, out_features=512, bias=True)
  (bn1): BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (drop1): Dropout(p=0.4, inplace=False)
  (fc2): Linear(in_features=512, out_features=256, bias=True)
  (bn2): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (drop2): Dropout(p=0.4, inplace=False)
  (fc3): Linear(in_features=256, out_features=40, bias=True)
)
NUMBER OF TRAINABLE PARAMS: 1475688
SGD (
Parameter Group 0
    dampening: 0
    differentiable: False
    foreach: None
    initial_lr: 0.1
    lr: 0.1
    maximize: False
    momentum: 0.9
    nesterov: False
    weight_decay: 0.0001
)
Train 0, loss: 3.207777, train acc: 0.246030, train avg acc: 0.138467
Test 18, loss: 2.050900, test acc: 0.672204, test avg acc: 0.561971
Train 19, loss: 2.147473, train acc: 0.639658, train avg acc: 0.520517
Test 19, loss: 1.972224, test acc: 0.701378, test avg acc: 0.603855
Train 20, loss: 2.145975, train acc: 0.638131, train avg acc: 0.524244
Test 20, loss: 2.005675, test acc: 0.682334, test avg acc: 0.575773
Train 21, loss: 2.144310, train acc: 0.641999, train avg acc: 0.527151
Test 21, loss: 2.053345, test acc: 0.651135, test avg acc: 0.561413
Train 22, loss: 2.136066, train acc: 0.641592, train avg acc: 0.527665
Test 22, loss: 2.043577, test acc: 0.665316, test avg acc: 0.584767
Train 23, loss: 2.118516, train acc: 0.657471, train avg acc: 0.548194
Test 23, loss: 1.983842, test acc: 0.709481, test avg acc: 0.611227
Train 24, loss: 2.110537, train acc: 0.657064, train avg acc: 0.540222
Test 24, loss: 2.062397, test acc: 0.658428, test avg acc: 0.584192
Train 25, loss: 2.102361, train acc: 0.656250, train avg acc: 0.544499
Test 25, loss: 1.991245, test acc: 0.693274, test avg acc: 0.606890
Train 26, loss: 2.108302, train acc: 0.653196, train avg acc: 0.541194
Test 26, loss: 1.928177, test acc: 0.713533, test avg acc: 0.618360
Train 27, loss: 2.089965, train acc: 0.664292, train avg acc: 0.556747
Test 27, loss: 2.061617, test acc: 0.655186, test avg acc: 0.580506
Train 28, loss: 2.079534, train acc: 0.669279, train avg acc: 0.562426
Test 28, loss: 1.902151, test acc: 0.734198, test avg acc: 0.654814
Train 29, loss: 2.080626, train acc: 0.671926, train avg acc: 0.565182
Test 29, loss: 1.952069, test acc: 0.705835, test avg acc: 0.634808
Train 30, loss: 2.064141, train acc: 0.674267, train avg acc: 0.568907
Test 30, loss: 1.943501, test acc: 0.703404, test avg acc: 0.622256
Train 31, loss: 2.070697, train acc: 0.671926, train avg acc: 0.565112
Test 31, loss: 2.019036, test acc: 0.666937, test avg acc: 0.596884
Train 32, loss: 2.065079, train acc: 0.674878, train avg acc: 0.569864
Test 32, loss: 2.078660, test acc: 0.646272, test avg acc: 0.594122
Train 33, loss: 2.059570, train acc: 0.677626, train avg acc: 0.568748
Test 33, loss: 1.976513, test acc: 0.688412, test avg acc: 0.607895
Train 34, loss: 2.046664, train acc: 0.684039, train avg acc: 0.579188
Test 34, loss: 2.049127, test acc: 0.664100, test avg acc: 0.602238
Train 35, loss: 2.055858, train acc: 0.680171, train avg acc: 0.572145
Test 35, loss: 2.124608, test acc: 0.623987, test avg acc: 0.549419
Train 36, loss: 2.033904, train acc: 0.689739, train avg acc: 0.587145
Test 36, loss: 1.937766, test acc: 0.715154, test avg acc: 0.616459
Train 37, loss: 2.031839, train acc: 0.689943, train avg acc: 0.586586
Test 37, loss: 1.934608, test acc: 0.711102, test avg acc: 0.640767
Train 38, loss: 2.032468, train acc: 0.688721, train avg acc: 0.586892
Test 38, loss: 1.870012, test acc: 0.739870, test avg acc: 0.666250
Train 39, loss: 2.042973, train acc: 0.689129, train avg acc: 0.589407
Test 39, loss: 1.894050, test acc: 0.732172, test avg acc: 0.661797
Train 40, loss: 2.023001, train acc: 0.693913, train avg acc: 0.597751
Test 40, loss: 1.965981, test acc: 0.709076, test avg acc: 0.638942
Train 41, loss: 2.008833, train acc: 0.702056, train avg acc: 0.601207
Test 41, loss: 2.000064, test acc: 0.688412, test avg acc: 0.610581
Train 42, loss: 2.020662, train acc: 0.698901, train avg acc: 0.598147
Test 42, loss: 1.880140, test acc: 0.739870, test avg acc: 0.665767
Train 43, loss: 2.013903, train acc: 0.693302, train avg acc: 0.592937
Test 43, loss: 1.957331, test acc: 0.690843, test avg acc: 0.625419
Train 44, loss: 2.006047, train acc: 0.701140, train avg acc: 0.601090
Test 44, loss: 1.931100, test acc: 0.710697, test avg acc: 0.650523
Train 45, loss: 2.015469, train acc: 0.705517, train avg acc: 0.608081
Test 45, loss: 1.916052, test acc: 0.728120, test avg acc: 0.653186
Train 46, loss: 1.999141, train acc: 0.707757, train avg acc: 0.605822
Test 46, loss: 1.893261, test acc: 0.728525, test avg acc: 0.645070
Train 47, loss: 1.987194, train acc: 0.709385, train avg acc: 0.605697
Test 47, loss: 1.944897, test acc: 0.699352, test avg acc: 0.644663
Train 48, loss: 1.992749, train acc: 0.705517, train avg acc: 0.608968
Test 48, loss: 1.866330, test acc: 0.751621, test avg acc: 0.649227
Train 49, loss: 1.990996, train acc: 0.710505, train avg acc: 0.613060
Test 49, loss: 1.856704, test acc: 0.755267, test avg acc: 0.683523
Train 50, loss: 1.981632, train acc: 0.714577, train avg acc: 0.618405
Test 50, loss: 1.838462, test acc: 0.758914, test avg acc: 0.672070
Train 51, loss: 1.983951, train acc: 0.711319, train avg acc: 0.619936
Test 51, loss: 1.862548, test acc: 0.745138, test avg acc: 0.682488
Train 52, loss: 1.980013, train acc: 0.711523, train avg acc: 0.615233
Test 52, loss: 1.927289, test acc: 0.707861, test avg acc: 0.644773
Train 53, loss: 1.984655, train acc: 0.712541, train avg acc: 0.613488
Test 53, loss: 1.875162, test acc: 0.737034, test avg acc: 0.654913
Train 54, loss: 1.972370, train acc: 0.715493, train avg acc: 0.617650
Test 54, loss: 1.975127, test acc: 0.697326, test avg acc: 0.623209
Train 55, loss: 1.967350, train acc: 0.713762, train avg acc: 0.615144
Test 55, loss: 1.883994, test acc: 0.743517, test avg acc: 0.664872
Train 56, loss: 1.963448, train acc: 0.722720, train avg acc: 0.627963
Test 56, loss: 1.962540, test acc: 0.702593, test avg acc: 0.649837
Train 57, loss: 1.963336, train acc: 0.717427, train avg acc: 0.624809
Test 57, loss: 1.885416, test acc: 0.744327, test avg acc: 0.688116
Train 58, loss: 1.950944, train acc: 0.723432, train avg acc: 0.629375
Test 58, loss: 1.859752, test acc: 0.750000, test avg acc: 0.691384
Train 59, loss: 1.949654, train acc: 0.727809, train avg acc: 0.637629
Test 59, loss: 1.878783, test acc: 0.732577, test avg acc: 0.651349
Train 60, loss: 1.942259, train acc: 0.732797, train avg acc: 0.641796
Test 60, loss: 1.889079, test acc: 0.730956, test avg acc: 0.678314
Train 61, loss: 1.942419, train acc: 0.727199, train avg acc: 0.631179
Test 61, loss: 1.856042, test acc: 0.752836, test avg acc: 0.690442
Train 62, loss: 1.950604, train acc: 0.722313, train avg acc: 0.625600
Test 62, loss: 1.868372, test acc: 0.749595, test avg acc: 0.697767
Train 63, loss: 1.935902, train acc: 0.730761, train avg acc: 0.641379
Test 63, loss: 1.842093, test acc: 0.753241, test avg acc: 0.712302
Train 64, loss: 1.944143, train acc: 0.728420, train avg acc: 0.635772
Test 64, loss: 1.949629, test acc: 0.700162, test avg acc: 0.662895
Train 65, loss: 1.934058, train acc: 0.730456, train avg acc: 0.638037
Test 65, loss: 1.915060, test acc: 0.732982, test avg acc: 0.662977
Train 66, loss: 1.934276, train acc: 0.735037, train avg acc: 0.644625
Test 66, loss: 1.865706, test acc: 0.743112, test avg acc: 0.655023
Train 67, loss: 1.939301, train acc: 0.730354, train avg acc: 0.637815
Test 67, loss: 1.859478, test acc: 0.754457, test avg acc: 0.677860
Train 68, loss: 1.921992, train acc: 0.739108, train avg acc: 0.646875
Test 68, loss: 1.838084, test acc: 0.750810, test avg acc: 0.701674
Train 69, loss: 1.940652, train acc: 0.726283, train avg acc: 0.633593
Test 69, loss: 1.926635, test acc: 0.706240, test avg acc: 0.642767
Train 70, loss: 1.921135, train acc: 0.741042, train avg acc: 0.648746
Test 70, loss: 1.883090, test acc: 0.726904, test avg acc: 0.673826
Train 71, loss: 1.914588, train acc: 0.738090, train avg acc: 0.649024
Test 71, loss: 1.840483, test acc: 0.765397, test avg acc: 0.690390
Train 72, loss: 1.907230, train acc: 0.746030, train avg acc: 0.658615
Test 72, loss: 1.810185, test acc: 0.774716, test avg acc: 0.712547
Train 73, loss: 1.913131, train acc: 0.741755, train avg acc: 0.652310
Test 73, loss: 1.815247, test acc: 0.754862, test avg acc: 0.694773
Train 74, loss: 1.903306, train acc: 0.747659, train avg acc: 0.656318
Test 74, loss: 1.905081, test acc: 0.720827, test avg acc: 0.669872
Train 75, loss: 1.908634, train acc: 0.743384, train avg acc: 0.651353
Test 75, loss: 1.819218, test acc: 0.768233, test avg acc: 0.688343
Train 76, loss: 1.918531, train acc: 0.741348, train avg acc: 0.653924
Test 76, loss: 1.846365, test acc: 0.743922, test avg acc: 0.684110
Train 77, loss: 1.888359, train acc: 0.751018, train avg acc: 0.661116
Test 77, loss: 1.873916, test acc: 0.731767, test avg acc: 0.676349
Train 78, loss: 1.892164, train acc: 0.751018, train avg acc: 0.666632
Test 78, loss: 1.997988, test acc: 0.684360, test avg acc: 0.645977
Train 79, loss: 1.880001, train acc: 0.756209, train avg acc: 0.667990
Test 79, loss: 1.846473, test acc: 0.746353, test avg acc: 0.692453
Train 80, loss: 1.884133, train acc: 0.751934, train avg acc: 0.668396
Test 80, loss: 1.874423, test acc: 0.739060, test avg acc: 0.674802
Train 81, loss: 1.883299, train acc: 0.753868, train avg acc: 0.669397
Test 81, loss: 1.845798, test acc: 0.757293, test avg acc: 0.696198
Train 82, loss: 1.889056, train acc: 0.752239, train avg acc: 0.665163
Test 82, loss: 1.830965, test acc: 0.749190, test avg acc: 0.699552
Train 83, loss: 1.879303, train acc: 0.755700, train avg acc: 0.670390
Test 83, loss: 1.829730, test acc: 0.762966, test avg acc: 0.708767
Train 84, loss: 1.878351, train acc: 0.757736, train avg acc: 0.672791
Test 84, loss: 1.798784, test acc: 0.770665, test avg acc: 0.717645
Train 85, loss: 1.871760, train acc: 0.758449, train avg acc: 0.673302
Test 85, loss: 1.787602, test acc: 0.782415, test avg acc: 0.707081
Train 86, loss: 1.862290, train acc: 0.762113, train avg acc: 0.677163
Test 86, loss: 1.756316, test acc: 0.785251, test avg acc: 0.725791
Train 87, loss: 1.880225, train acc: 0.754479, train avg acc: 0.672371
Test 87, loss: 1.867147, test acc: 0.735413, test avg acc: 0.675384
Train 88, loss: 1.870704, train acc: 0.759161, train avg acc: 0.674329
Test 88, loss: 1.832005, test acc: 0.767018, test avg acc: 0.693930
Train 89, loss: 1.856312, train acc: 0.769137, train avg acc: 0.682396
Test 89, loss: 1.848452, test acc: 0.744327, test avg acc: 0.667424
Train 90, loss: 1.866836, train acc: 0.765981, train avg acc: 0.685481
Test 90, loss: 1.858647, test acc: 0.743922, test avg acc: 0.690174
Train 91, loss: 1.854578, train acc: 0.764454, train avg acc: 0.681520
Test 91, loss: 1.818505, test acc: 0.772285, test avg acc: 0.699453
Train 92, loss: 1.848626, train acc: 0.771173, train avg acc: 0.694095
Test 92, loss: 1.820978, test acc: 0.760535, test avg acc: 0.700645
Train 93, loss: 1.856728, train acc: 0.771071, train avg acc: 0.687646
Test 93, loss: 1.843106, test acc: 0.758914, test avg acc: 0.713169
Train 94, loss: 1.852226, train acc: 0.767203, train avg acc: 0.681324
Test 94, loss: 1.820016, test acc: 0.759724, test avg acc: 0.711233
Train 95, loss: 1.851397, train acc: 0.769646, train avg acc: 0.685023
Test 95, loss: 1.826790, test acc: 0.762966, test avg acc: 0.719547
Train 96, loss: 1.842607, train acc: 0.771987, train avg acc: 0.688374
Test 96, loss: 1.896057, test acc: 0.738655, test avg acc: 0.673820
Train 97, loss: 1.834298, train acc: 0.773616, train avg acc: 0.693755
Test 97, loss: 1.789861, test acc: 0.776742, test avg acc: 0.724250
Train 98, loss: 1.844957, train acc: 0.770257, train avg acc: 0.684858
Test 98, loss: 1.841876, test acc: 0.745948, test avg acc: 0.688686
Train 99, loss: 1.830968, train acc: 0.780639, train avg acc: 0.702770
Test 99, loss: 1.754276, test acc: 0.789303, test avg acc: 0.711233
Train 100, loss: 1.839443, train acc: 0.770969, train avg acc: 0.689830
Test 100, loss: 1.831932, test acc: 0.762966, test avg acc: 0.709390
Train 101, loss: 1.832694, train acc: 0.780639, train avg acc: 0.704023
Test 101, loss: 1.738635, test acc: 0.799433, test avg acc: 0.727337
Train 102, loss: 1.817740, train acc: 0.783082, train avg acc: 0.703805
Test 102, loss: 1.824080, test acc: 0.764182, test avg acc: 0.698128
Train 103, loss: 1.821817, train acc: 0.783489, train avg acc: 0.704686
Test 103, loss: 1.801045, test acc: 0.776742, test avg acc: 0.710564
Train 104, loss: 1.817093, train acc: 0.784406, train avg acc: 0.704923
Test 104, loss: 1.789696, test acc: 0.783225, test avg acc: 0.717465
Train 105, loss: 1.831798, train acc: 0.777077, train avg acc: 0.700943
Test 105, loss: 1.763190, test acc: 0.785251, test avg acc: 0.722849
Train 106, loss: 1.823092, train acc: 0.777586, train avg acc: 0.700086
Test 106, loss: 1.755080, test acc: 0.786872, test avg acc: 0.718814
Train 107, loss: 1.805689, train acc: 0.785322, train avg acc: 0.702361
Test 107, loss: 1.750769, test acc: 0.795381, test avg acc: 0.736767
Train 108, loss: 1.807114, train acc: 0.786747, train avg acc: 0.708189
Test 108, loss: 1.778118, test acc: 0.776337, test avg acc: 0.701337
Train 109, loss: 1.801065, train acc: 0.788681, train avg acc: 0.708595
Test 109, loss: 1.745885, test acc: 0.784036, test avg acc: 0.707355
Train 110, loss: 1.795797, train acc: 0.790004, train avg acc: 0.713295
Test 110, loss: 1.778853, test acc: 0.787682, test avg acc: 0.731087
Train 111, loss: 1.802272, train acc: 0.791735, train avg acc: 0.716524
Test 111, loss: 1.774011, test acc: 0.789303, test avg acc: 0.734849
Train 112, loss: 1.799186, train acc: 0.790818, train avg acc: 0.714658
Test 112, loss: 1.739265, test acc: 0.796596, test avg acc: 0.747070
Train 113, loss: 1.796388, train acc: 0.789088, train avg acc: 0.712985
Test 113, loss: 1.759384, test acc: 0.777553, test avg acc: 0.720355
Train 114, loss: 1.806454, train acc: 0.785118, train avg acc: 0.707839
Test 114, loss: 1.720419, test acc: 0.807536, test avg acc: 0.749087
Train 115, loss: 1.782049, train acc: 0.795094, train avg acc: 0.724891
Test 115, loss: 1.830021, test acc: 0.758104, test avg acc: 0.693035
Train 116, loss: 1.799498, train acc: 0.791938, train avg acc: 0.716114
Test 116, loss: 1.765972, test acc: 0.784846, test avg acc: 0.728151
Train 117, loss: 1.791241, train acc: 0.793058, train avg acc: 0.719107
Test 117, loss: 1.707902, test acc: 0.819287, test avg acc: 0.756872
Train 118, loss: 1.786525, train acc: 0.792752, train avg acc: 0.718159
Test 118, loss: 1.719069, test acc: 0.811994, test avg acc: 0.745267
Train 119, loss: 1.775470, train acc: 0.801303, train avg acc: 0.732959
Test 119, loss: 1.783096, test acc: 0.782010, test avg acc: 0.745401
Train 120, loss: 1.779179, train acc: 0.797944, train avg acc: 0.725297
Test 120, loss: 1.790866, test acc: 0.783630, test avg acc: 0.714343
Train 121, loss: 1.774340, train acc: 0.802015, train avg acc: 0.729923
Test 121, loss: 1.764086, test acc: 0.797407, test avg acc: 0.754628
Train 122, loss: 1.770672, train acc: 0.802626, train avg acc: 0.726632
Test 122, loss: 1.761386, test acc: 0.784036, test avg acc: 0.734733
Train 123, loss: 1.779451, train acc: 0.797333, train avg acc: 0.726285
Test 123, loss: 1.732262, test acc: 0.801864, test avg acc: 0.726227
Train 124, loss: 1.771482, train acc: 0.804764, train avg acc: 0.736865
Test 124, loss: 1.787974, test acc: 0.776337, test avg acc: 0.728477
Train 125, loss: 1.765483, train acc: 0.803950, train avg acc: 0.733662
Test 125, loss: 1.739348, test acc: 0.798217, test avg acc: 0.733599
Train 126, loss: 1.764623, train acc: 0.804458, train avg acc: 0.735262
Test 126, loss: 1.717906, test acc: 0.811183, test avg acc: 0.748267
Train 127, loss: 1.754757, train acc: 0.810362, train avg acc: 0.739558
Test 127, loss: 1.745431, test acc: 0.789708, test avg acc: 0.730663
Train 128, loss: 1.764844, train acc: 0.803950, train avg acc: 0.732982
Test 128, loss: 1.704800, test acc: 0.803485, test avg acc: 0.739058
Train 129, loss: 1.745955, train acc: 0.815147, train avg acc: 0.746223
Test 129, loss: 1.702916, test acc: 0.811183, test avg acc: 0.748634
Train 130, loss: 1.751099, train acc: 0.811279, train avg acc: 0.741851
Test 130, loss: 1.705504, test acc: 0.809562, test avg acc: 0.724953
Train 131, loss: 1.749624, train acc: 0.807105, train avg acc: 0.741022
Test 131, loss: 1.697552, test acc: 0.815640, test avg acc: 0.749413
Train 132, loss: 1.739668, train acc: 0.814841, train avg acc: 0.747339
Test 132, loss: 1.695612, test acc: 0.810778, test avg acc: 0.748419
Train 133, loss: 1.738145, train acc: 0.820134, train avg acc: 0.750458
Test 133, loss: 1.700418, test acc: 0.814830, test avg acc: 0.750674
Train 134, loss: 1.751366, train acc: 0.809141, train avg acc: 0.744020
Test 134, loss: 1.718363, test acc: 0.806321, test avg acc: 0.752541
Train 135, loss: 1.740427, train acc: 0.818404, train avg acc: 0.752134
Test 135, loss: 1.716002, test acc: 0.807942, test avg acc: 0.748837
Train 136, loss: 1.735575, train acc: 0.815961, train avg acc: 0.748259
Test 136, loss: 1.719407, test acc: 0.810373, test avg acc: 0.743076
Train 137, loss: 1.736618, train acc: 0.816979, train avg acc: 0.744888
Test 137, loss: 1.718596, test acc: 0.805511, test avg acc: 0.744849
Train 138, loss: 1.732191, train acc: 0.820542, train avg acc: 0.752176
Test 138, loss: 1.693185, test acc: 0.814830, test avg acc: 0.757767
Train 139, loss: 1.724473, train acc: 0.826751, train avg acc: 0.760354
Test 139, loss: 1.686342, test acc: 0.820908, test avg acc: 0.762907
Train 140, loss: 1.716590, train acc: 0.825224, train avg acc: 0.757226
Test 140, loss: 1.687111, test acc: 0.817666, test avg acc: 0.770395
Train 141, loss: 1.723185, train acc: 0.818404, train avg acc: 0.750867
Test 141, loss: 1.676906, test acc: 0.824959, test avg acc: 0.758547
Train 142, loss: 1.719953, train acc: 0.819727, train avg acc: 0.750270
Test 142, loss: 1.714290, test acc: 0.806321, test avg acc: 0.749895
Train 143, loss: 1.711496, train acc: 0.828990, train avg acc: 0.763838
Test 143, loss: 1.684165, test acc: 0.823744, test avg acc: 0.764163
Train 144, loss: 1.708070, train acc: 0.829703, train avg acc: 0.763179
Test 144, loss: 1.732872, test acc: 0.801459, test avg acc: 0.753744
Train 145, loss: 1.718110, train acc: 0.825936, train avg acc: 0.759263
Test 145, loss: 1.720728, test acc: 0.809157, test avg acc: 0.741860
Train 146, loss: 1.707342, train acc: 0.829805, train avg acc: 0.767415
Test 146, loss: 1.679782, test acc: 0.822123, test avg acc: 0.768459
Train 147, loss: 1.720396, train acc: 0.822170, train avg acc: 0.760779
Test 147, loss: 1.707613, test acc: 0.802269, test avg acc: 0.748988
Train 148, loss: 1.695569, train acc: 0.837235, train avg acc: 0.773847
Test 148, loss: 1.669223, test acc: 0.824554, test avg acc: 0.762041
Train 149, loss: 1.700251, train acc: 0.832044, train avg acc: 0.769324
Test 149, loss: 1.655126, test acc: 0.836710, test avg acc: 0.786953
Train 150, loss: 1.700809, train acc: 0.831535, train avg acc: 0.767427
Test 150, loss: 1.671892, test acc: 0.820908, test avg acc: 0.766424
Train 151, loss: 1.701120, train acc: 0.832349, train avg acc: 0.768442
Test 151, loss: 1.693548, test acc: 0.816856, test avg acc: 0.761506
Train 152, loss: 1.692393, train acc: 0.835912, train avg acc: 0.770917
Test 152, loss: 1.663606, test acc: 0.825770, test avg acc: 0.767738
Train 153, loss: 1.684706, train acc: 0.838050, train avg acc: 0.779145
Test 153, loss: 1.679850, test acc: 0.824959, test avg acc: 0.771593
Train 154, loss: 1.686349, train acc: 0.838355, train avg acc: 0.772377
Test 154, loss: 1.697589, test acc: 0.805511, test avg acc: 0.751302
Train 155, loss: 1.684707, train acc: 0.836726, train avg acc: 0.773044
Test 155, loss: 1.672293, test acc: 0.826580, test avg acc: 0.768721
Train 156, loss: 1.684441, train acc: 0.835505, train avg acc: 0.773745
Test 156, loss: 1.672249, test acc: 0.824554, test avg acc: 0.782424
Train 157, loss: 1.677229, train acc: 0.844463, train avg acc: 0.782855
Test 157, loss: 1.672967, test acc: 0.829011, test avg acc: 0.779459
